#,Year,City,Country,Opened,Closed,Competition,Unnamed: 7,title,subtitle
I,1896,Athina,,6 April,15 April,6 – 13 April,,Olympic Games,Summer
II,1900,Paris,,,,14 May – 28 October,,Olympic Games,Summer
III,1904,St. Louis,,14 May,,1 July – 26 November,,Olympic Games,Summer
IV,1908,London,,13 July,25 July,27 April – 31 October,,Olympic Games,Summer
V,1912,Stockholm,,6 July,15 July,5 May – 27 July,,Olympic Games,Summer
VI,1916,Berlin,,,,—,Not held due to war,Olympic Games,Summer
VII,1920,Antwerpen,,14 August,30 August,23 April – 12 September,,Olympic Games,Summer
VIII,1924,Paris,,5 July,27 July,4 May – 27 July,,Olympic Games,Summer
IX,1928,Amsterdam,,28 July,12 August,17 May – 12 August,,Olympic Games,Summer
X,1932,Los Angeles,,30 July,14 August,30 July – 14 August,,Olympic Games,Summer
XI,1936,Berlin,,1 August,16 August,1 – 16 August,,Olympic Games,Summer
XII,1940,Helsinki,,,,—,Not held due to war,Olympic Games,Summer
XIII,1944,London,,,,—,Not held due to war,Olympic Games,Summer
XIV,1948,London,,29 July,14 August,26 July – 14 August,,Olympic Games,Summer
XV,1952,Helsinki,,19 July,3 August,14 July – 3 August,,Olympic Games,Summer
XVI,1956,Melbourne,,22 November,8 December,22 November – 8 December,,Olympic Games,Summer
XVII,1960,Roma,,25 August,11 September,25 August – 11 September,,Olympic Games,Summer
XVIII,1964,Tokyo,,10 October,24 October,11 – 24 October,,Olympic Games,Summer
XIX,1968,Ciudad de México,,12 October,27 October,12 – 27 October,,Olympic Games,Summer
XX,1972,München,,26 August,11 September,26 August – 11 September,,Olympic Games,Summer
XXI,1976,Montréal,,17 July,1 August,18 July – 1 August,,Olympic Games,Summer
XXII,1980,Moskva,,19 July,3 August,20 July – 3 August,,Olympic Games,Summer
XXIII,1984,Los Angeles,,28 July,12 August,6 July – 12 August,,Olympic Games,Summer
XXIV,1988,Seoul,,17 September,2 October,17 September – 2 October,,Olympic Games,Summer
XXV,1992,Barcelona,,25 July,9 August,24 July – 9 August,,Olympic Games,Summer
XXVI,1996,Atlanta,,19 July,4 August,20 July – 4 August,,Olympic Games,Summer
XXVII,2000,Sydney,,15 September,1 October,13 September – 1 October,,Olympic Games,Summer
XXVIII,2004,Athina,,13 August,29 August,11 – 29 August,,Olympic Games,Summer
XXIX,2008,Beijing,,8 August,24 August,6 – 24 August,,Olympic Games,Summer
XXX,2012,London,,27 July,12 August,25 July – 12 August,,Olympic Games,Summer
XXXI,2016,Rio de Janeiro,,5 August,21 August,3 – 21 August,,Olympic Games,Summer
XXXII,2020,Tokyo,,23 July 2021,8 August 2021,21 July – 8 August 2021,,Olympic Games,Summer
XXXIII,2024,Paris,,,,—,,Olympic Games,Summer
XXXIV,2028,Los Angeles,,,,—,,Olympic Games,Summer
XXXV,2032,Brisbane,,,,—,,Olympic Games,Summer
I,1924,Chamonix,,24 January,5 February,26 January – 4 February,,Olympic Games,Winter
II,1928,Sankt Moritz,,11 February,17 February,11 – 19 February,,Olympic Games,Winter
III,1932,Lake Placid,,4 February,13 February,4 – 15 February,,Olympic Games,Winter
IV,1936,Garmisch-Partenkirchen,,6 February,16 February,6 – 16 February,,Olympic Games,Winter
,1940,Garmisch-Partenkirchen,,,,—,Not held due to war,Olympic Games,Winter
,1944,Cortina d'Ampezzo,,,,—,Not held due to war,Olympic Games,Winter
V,1948,Sankt Moritz,,30 January,8 February,30 January – 8 February,,Olympic Games,Winter
VI,1952,Oslo,,15 February,25 February,14 – 25 February,,Olympic Games,Winter
VII,1956,Cortina d'Ampezzo,,26 January,5 February,26 January – 5 February,,Olympic Games,Winter
VIII,1960,Squaw Valley,,18 February,28 February,19 – 28 February,,Olympic Games,Winter
IX,1964,Innsbruck,,29 January,9 February,27 January – 9 February,,Olympic Games,Winter
X,1968,Grenoble,,6 February,18 February,4 – 18 February,,Olympic Games,Winter
XI,1972,Sapporo,,3 February,13 February,3 – 13 February,,Olympic Games,Winter
XII,1976,Innsbruck,,4 February,15 February,3 – 15 February,,Olympic Games,Winter
XIII,1980,Lake Placid,,13 February,24 February,12 – 24 February,,Olympic Games,Winter
XIV,1984,Sarajevo,,8 February,19 February,7 – 19 February,,Olympic Games,Winter
XV,1988,Calgary,,13 February,28 February,13 – 28 February,,Olympic Games,Winter
XVI,1992,Albertville,,8 February,23 February,8 – 23 February,,Olympic Games,Winter
XVII,1994,Lillehammer,,12 February,27 February,12 – 27 February,,Olympic Games,Winter
XVIII,1998,Nagano,,7 February,22 February,7 – 22 February,,Olympic Games,Winter
