Discipline,Event
3-on-3 Ice Hockey,"3-on-3 Ice Hockey, Boys"
3-on-3 Ice Hockey,"3-on-3 Ice Hockey, Girls"
3x3 Basketball,"3x3 Basketball, Men"
3x3 Basketball,"3x3 Basketball, Women"
3x3 Basketball,"3x3 Basketball, Boys"
3x3 Basketball,"Dunk Contest, Boys"
3x3 Basketball,"3x3 Basketball, Girls"
3x3 Basketball,"Shoot-out Contest, Girls"
Acrobatic Gymnastics,"Pairs, Mixed Youth"
Aeronautics,"Aeronautics, Open"
Alpine Skiing,"Downhill, Men"
Alpine Skiing,"Super G, Men"
Alpine Skiing,"Giant Slalom, Men"
Alpine Skiing,"Slalom, Men"
Alpine Skiing,"Combined, Men"
Alpine Skiing,"Downhill, Women"
Alpine Skiing,"Super G, Women"
Alpine Skiing,"Giant Slalom, Women"
Alpine Skiing,"Slalom, Women"
Alpine Skiing,"Combined, Women"
Alpine Skiing,"Team, Mixed"
Alpine Skiing,"Super G, Boys"
Alpine Skiing,"Giant Slalom, Boys"
Alpine Skiing,"Slalom, Boys"
Alpine Skiing,"Combined, Boys"
Alpine Skiing,"Super G, Girls"
Alpine Skiing,"Giant Slalom, Girls"
Alpine Skiing,"Slalom, Girls"
Alpine Skiing,"Combined, Girls"
Alpine Skiing,"Team, Mixed Youth"
Alpine Skiing,"Giant Slalom, LW2, Men"
Alpine Skiing,"Giant Slalom, LW4, Men"
Alpine Skiing,"Giant Slalom, LW5/7, Men"
Alpine Skiing,"Giant Slalom, LW6/8, Men"
Alpine Skiing,"Giant Slalom, LW2, Women"
Alpinism,"Alpinism, Open"
American Football (non-medal only),"American Football, Men"
Ancient Art Competitions,"Competition for Heralds, Men"
Ancient Art Competitions,"Competition for Trumpeters, Men"
Ancient Art Competitions,"Competition for Tragedy, Men"
Ancient Art Competitions,"Rhetoric Competition, Men"
Ancient Art Competitions,"Competition for Lyre-Playing, Men"
Ancient Art Competitions,"Poetry Competition, Men"
Ancient Art Competitions,"Aulos (Wind Instrument) Competition, Men"
Ancient Art Competitions,"Comedy Competition, Men"
Ancient Art Competitions,"Competition for Flute Playing, Men"
Ancient Athletics,"Unknown Event, Men"
Ancient Athletics,"Stadion, Men"
Ancient Athletics,"Diaulos, Men"
Ancient Athletics,"Race in Armor (Hoplite Race), Men"
Ancient Athletics,"Dolikhos, Men"
Ancient Athletics,"Foot Race, Men"
Ancient Athletics,"Pentathlon, Men"
Ancient Athletics,"Special Event, Men"
Ancient Athletics,"Stadion / Diaulos, Men"
Ancient Athletics,"Diaulos or Race in Armour, Men"
Ancient Athletics,"Unknown Event, Boys"
Ancient Athletics,"Stadion, Boys"
Ancient Athletics,"Pentathlon, Boys"
Ancient Combative Sports,"Unknown Event, Men"
Ancient Combative Sports,"Boxing, Men"
Ancient Combative Sports,"Pankration, Men"
Ancient Combative Sports,"Wrestling, Men"
Ancient Combative Sports,"Wrestling or Pankration, Men"
Ancient Combative Sports,"Boxing, Boys"
Ancient Combative Sports,"Wrestling, Boys"
Ancient Combative Sports,"Pankration, Boys"
Ancient Equestrianism,"Tethrippon, Men"
Ancient Equestrianism,"Unknown Event, Men"
Ancient Equestrianism,"Synoris, Men"
Ancient Equestrianism,"Horse Race (Keles), Men"
Ancient Equestrianism,"Race for Mares (Kalpe), Men"
Ancient Equestrianism,"Apene (Mule-Cart Race), Men"
Ancient Equestrianism,"Foals' Tethrippon, Men"
Ancient Equestrianism,"Foals' Synoris, Men"
Ancient Equestrianism,"Foals' Race, Men"
Ancient Equestrianism,"Colts' Tethrippon, Men"
Ancient Equestrianism,"Colts' Synoris, Men"
Ancient Equestrianism,"Chariot Race, Men"
Ancient Equestrianism,"Chariot Race for 10 Horses, Men"
Ancient Equestrianism,"Chariot Race for Foals, Men"
Ancient Equestrianism,"Tethrippon or Synoris for Foals, Men"
Ancient Equestrianism,"Unknown Event for Foals, Men"
Archery,"Individual, Men"
Archery,"Team, Men"
Archery,"Individual, Women"
Archery,"Team, Women"
Archery,"Team, Mixed"
Archery,"Individual, Boys"
Archery,"Individual, Girls"
Archery,"Team, Mixed Youth"
Archery,"Target Archery, 28 metres, Individual, Men"
Archery,"Target Archery, 33 metres, Individual, Men"
Archery,"Target Archery, 50 metres, Individual, Men"
Archery,"Target Archery, 28 metres, Team, Men"
Archery,"Target Archery, 33 metres, Team, Men"
Archery,"Target Archery, 50 metres, Team, Men"
Archery,"Pole Archery, Small Birds, Individual, Men"
Archery,"Pole Archery, Large Birds, Individual, Men"
Archery,"Pole Archery, Small Birds, Team, Men"
Archery,"Pole Archery, Large Birds, Team, Men"
Archery,"Au Chapelet, 33 metres, Men"
Archery,"Au Chapelet, 50 metres, Men"
Archery,"Au Cordon Doré, 33 metres, Men"
Archery,"Au Cordon Doré, 50 metres, Men"
Archery,"Sur La Perche À La Herse, Men"
Archery,"Sur La Perche À La Pyramide, Men"
Archery,"Championnat Du Monde, Men"
