Discipline,Event
3-on-3 Ice Hockey,"3-on-3 Ice Hockey, Boys"
3-on-3 Ice Hockey,"3-on-3 Ice Hockey, Girls"
3x3 Basketball,"3x3 Basketball, Men"
3x3 Basketball,"3x3 Basketball, Women"
3x3 Basketball,"3x3 Basketball, Boys"
3x3 Basketball,"Dunk Contest, Boys"
3x3 Basketball,"3x3 Basketball, Girls"
3x3 Basketball,"Shoot-out Contest, Girls"
Acrobatic Gymnastics,"Pairs, Mixed Youth"
Aeronautics,"Aeronautics, Open  (discontinued)"
Alpine Skiing,"Downhill, Men"
Alpine Skiing,"Super G, Men"
Alpine Skiing,"Giant Slalom, Men"
Alpine Skiing,"Slalom, Men"
Alpine Skiing,"Combined, Men"
Alpine Skiing,"Downhill, Women"
Alpine Skiing,"Super G, Women"
Alpine Skiing,"Giant Slalom, Women"
Alpine Skiing,"Slalom, Women"
Alpine Skiing,"Combined, Women"
Alpine Skiing,"Team, Mixed"
Alpine Skiing,"Super G, Boys"
Alpine Skiing,"Giant Slalom, Boys"
Alpine Skiing,"Slalom, Boys"
Alpine Skiing,"Combined, Boys"
Alpine Skiing,"Super G, Girls"
Alpine Skiing,"Giant Slalom, Girls"
Alpine Skiing,"Slalom, Girls"
Alpine Skiing,"Combined, Girls"
Alpine Skiing,"Team, Mixed Youth"
Alpine Skiing,"Giant Slalom, LW2, Men  (discontinued)"
Alpine Skiing,"Giant Slalom, LW4, Men  (discontinued)"
Alpine Skiing,"Giant Slalom, LW5/7, Men  (discontinued)"
Alpine Skiing,"Giant Slalom, LW6/8, Men  (discontinued)"
Alpine Skiing,"Giant Slalom, LW2, Women  (discontinued)"
Alpinism,"Alpinism, Open  (discontinued)"
American Football (non-medal only),"American Football, Men  (discontinued)"
Ancient Art Competitions,"Competition for Heralds, Men  (discontinued)"
Ancient Art Competitions,"Competition for Trumpeters, Men  (discontinued)"
Ancient Art Competitions,"Competition for Tragedy, Men  (discontinued)"
Ancient Art Competitions,"Rhetoric Competition, Men  (discontinued)"
Ancient Art Competitions,"Competition for Lyre-Playing, Men  (discontinued)"
Ancient Art Competitions,"Poetry Competition, Men  (discontinued)"
Ancient Art Competitions,"Aulos (Wind Instrument) Competition, Men  (discontinued)"
Ancient Art Competitions,"Comedy Competition, Men  (discontinued)"
Ancient Art Competitions,"Competition for Flute Playing, Men  (discontinued)"
Ancient Athletics,"Unknown Event, Men  (discontinued)"
Ancient Athletics,"Stadion, Men  (discontinued)"
Ancient Athletics,"Diaulos, Men  (discontinued)"
Ancient Athletics,"Race in Armor (Hoplite Race), Men  (discontinued)"
Ancient Athletics,"Dolikhos, Men  (discontinued)"
Ancient Athletics,"Foot Race, Men  (discontinued)"
Ancient Athletics,"Pentathlon, Men  (discontinued)"
Ancient Athletics,"Special Event, Men  (discontinued)"
Ancient Athletics,"Stadion / Diaulos, Men  (discontinued)"
Ancient Athletics,"Diaulos or Race in Armour, Men  (discontinued)"
Ancient Athletics,"Unknown Event, Boys  (discontinued)"
Ancient Athletics,"Stadion, Boys  (discontinued)"
Ancient Athletics,"Pentathlon, Boys  (discontinued)"
Ancient Combative Sports,"Unknown Event, Men  (discontinued)"
Ancient Combative Sports,"Boxing, Men  (discontinued)"
Ancient Combative Sports,"Pankration, Men  (discontinued)"
Ancient Combative Sports,"Wrestling, Men  (discontinued)"
Ancient Combative Sports,"Wrestling or Pankration, Men  (discontinued)"
Ancient Combative Sports,"Boxing, Boys  (discontinued)"
Ancient Combative Sports,"Wrestling, Boys  (discontinued)"
Ancient Combative Sports,"Pankration, Boys  (discontinued)"
Ancient Equestrianism,"Tethrippon, Men  (discontinued)"
Ancient Equestrianism,"Unknown Event, Men  (discontinued)"
Ancient Equestrianism,"Synoris, Men  (discontinued)"
Ancient Equestrianism,"Horse Race (Keles), Men  (discontinued)"
Ancient Equestrianism,"Race for Mares (Kalpe), Men  (discontinued)"
Ancient Equestrianism,"Apene (Mule-Cart Race), Men  (discontinued)"
Ancient Equestrianism,"Foals' Tethrippon, Men  (discontinued)"
Ancient Equestrianism,"Foals' Synoris, Men  (discontinued)"
Ancient Equestrianism,"Foals' Race, Men  (discontinued)"
Ancient Equestrianism,"Colts' Tethrippon, Men  (discontinued)"
Ancient Equestrianism,"Colts' Synoris, Men  (discontinued)"
Ancient Equestrianism,"Chariot Race, Men  (discontinued)"
Ancient Equestrianism,"Chariot Race for 10 Horses, Men  (discontinued)"
Ancient Equestrianism,"Chariot Race for Foals, Men  (discontinued)"
Ancient Equestrianism,"Tethrippon or Synoris for Foals, Men  (discontinued)"
Ancient Equestrianism,"Unknown Event for Foals, Men  (discontinued)"
Archery,"Individual, Men"
Archery,"Team, Men"
Archery,"Individual, Women"
Archery,"Team, Women"
Archery,"Team, Mixed"
Archery,"Individual, Boys"
Archery,"Individual, Girls"
Archery,"Team, Mixed Youth"
Archery,"Target Archery, 28 metres, Individual, Men  (discontinued)"
