Abbreviation,Discipline,Sport,Season,Olympic Status?
IH3,3-on-3 Ice Hockey,Ice Hockey,Winter,
BK3,3x3 Basketball,Basketball,Summer,
GAC,Acrobatic Gymnastics,Gymnastics,Summer,
AER,Aeronautics,Air Sports,Summer,
ALP,Alpine Skiing,Skiing,Winter,
APN,Alpinism,Mountaineering and Climbing,Summer,
USF,American Football,American Football,Summer,
AAR,Ancient Art Competitions,Ancient Sports,Summer,
AAT,Ancient Athletics,Ancient Sports,Summer,
ACB,Ancient Combative Sports,Ancient Sports,Summer,
AEQ,Ancient Equestrianism,Ancient Sports,Summer,
ARC,Archery,Archery,Summer,
ART,Art Competitions,Art Competitions,Summer,
GAR,Artistic Gymnastics,Gymnastics,Summer,
SWA,Artistic Swimming,Aquatics,Summer,
ATH,Athletics,Athletics,Summer,
ARF,Australian Rules Football,Australian Rules Football,Summer,
AUT,Automobile Racing,Automobile Sports,Summer,
BDM,Badminton,Badminton,Summer,
BLN,Ballooning,Air Sports,Summer,
BDY,Bandy,Bandy,Winter,
BBL,Baseball,Baseball/Softball,Summer,
BKB,Basketball,Basketball,Summer,
PEL,Basque pelota,Basque pelota,Summer,
BHA,Beach Handball,Handball,Summer,
VBV,Beach Volleyball,Volleyball,Summer,
BTH,Biathlon,Biathlon,Winter,
BPO,Bicycle Polo,Cycling,Summer,
BOB,Bobsleigh,Bobsleigh,Winter,
BOU,Boules,Boules,Summer,
BWL,Bowling,Bowling,Summer,
BOX,Boxing,Boxing,Summer,
BKG,Breaking,Dance,Summer,
CNN,Canne De Combat,Savate,Summer,
CMA,Canoe Marathon,Canoeing,Summer,
CSL,Canoe Slalom,Canoeing,Summer,
CSP,Canoe Sprint,Canoeing,Summer,
CKT,Cricket,Cricket,Summer,
CQT,Croquet,Croquet,Summer,
CCS,Cross Country Skiing,Skiing,Winter,
CUR,Curling,Curling,Winter,
BMF,Cycling BMX Freestyle,Cycling,Summer,
BMX,Cycling BMX Racing,Cycling,Summer,
MTB,Cycling Mountain Bike,Cycling,Summer,
CRD,Cycling Road,Cycling,Summer,
CTR,Cycling Track,Cycling,Summer,
DIV,Diving,Aquatics,Summer,
DSR,Dogsled Racing,Dogsled Racing,Winter,
EDR,Equestrian Dressage,Equestrian,Summer,
EDV,Equestrian Driving,Equestrian,Summer,
EVE,Equestrian Eventing,Equestrian,Summer,
EJP,Equestrian Jumping,Equestrian,Summer,
EVL,Equestrian Vaulting,Equestrian,Summer,
FEN,Fencing,Fencing,Summer,
FSK,Figure Skating,Skating,Winter,
FFG,Firefighting,Firefighting,Summer,
FSH,Fishing,Fishing,Summer,
FBL,Football,Football,Summer,
FRS,Freestyle Skiing,Skiing,Winter,
FTS,Futsal,Football,Summer,
GFB,Gaelic Football,Gaelic Sports,Summer,
GLD,Gliding,Air Sports,Summer,
GLM,Glíma,Glíma,Summer,
GLF,Golf,Golf,Summer,
GTS,Gotland Sports,Gotland Sports,Summer,
HBL,Handball,Handball,Summer,
HOC,Hockey,Hockey,Summer,
HO5,Hockey 5s,Hockey,Summer,
HUR,Hurling,Gaelic Sports,Summer,
IHO,Ice Hockey,Ice Hockey,Winter,
IST,Ice Stock Sport,Ice Stock Sport,Winter,
JDP,Jeu De Paume,Jeu de Paume,Summer,
JUD,Judo,Judo,Summer,
KTS,Kaatsen,Kaatsen,Summer,
KTE,Karate,Karate,Summer,
KEN,Kendo,Kendo,Summer,
KBL,Korfball,Korfball,Summer,
KYU,Kyudo,Kyudo,Summer,
LAX,Lacrosse,Lacrosse,Summer,
LFC,Lifesaving,Lifesaving,Summer,
LPM,Longue Paume,Jeu de Paume,Summer,
LUG,Luge,Luge,Winter,
OWS,Marathon Swimming,Aquatics,Summer,
MXC,Military Exercise,Military Exercise,Summer,
MSP,Military Ski Patrol,Skiing,Winter,
MIX,Mixed Sports,Mixed Sports,Winter,
MPN,Modern Pentathlon,Modern Pentathlon,Summer,
MBO,Motorboating,Motorboating,Summer,
MCS,Motorcycle Sports,Motorcycle Sports,Summer,
NCB,Nordic Combined,Skiing,Winter,
PSP,Pesäpallo,Pesäpallo,Summer,
POL,Polo,Polo,Summer,
